sepal_length,sepal_width,petal_length,petal_width,species
7.829193701377765,2.7086974122054532,3.3410245805619416,1.388997825271973,setosa
5.266509484804565,3.701386392584285,4.415302883494597,2.4166043929378476,setosa
6.360252889015018,2.6099927577673734,1.4185514102995733,0.8278372352157347,setosa
6.0470075473947364,3.326767944578979,3.5869973258067134,1.1974363878729486,setosa
4.9872797121412455,2.327891195460869,1.1629389540548578,0.7517029979673805,setosa
6.99178758603069,2.1689987140389055,1.4814056643614182,2.113440404966472,setosa
7.480578480158533,4.232040403545996,4.607930894107515,2.4564181319452745,setosa
5.30641723046833,4.026111537743148,2.5116209672073024,0.4720998801465861,setosa
5.641672721538578,2.7116243447547164,4.964954198241676,2.1208553800287553,versicolor
4.5712465216220615,2.7741218341726412,1.299534333132442,0.883962980310498,versicolor
6.289953880607764,2.8607522751107934,2.146216325721049,0.1932033626306157,versicolor
7.731058649286232,2.5014049222768646,1.030590690366522,2.1649710839480205,versicolor
5.400509269433854,4.036807507819219,6.231041178808894,2.0868856090902126,versicolor
5.490701096813849,3.6107444403777214,4.704577048196953,0.7006032652380737,versicolor
5.7208892805141005,3.0074740554710635,2.9361007381009188,0.5665120815876953,virginica
